GEO_OBJECT,TIME_PERIOD,OBS_VALUE,code
DEP,2021,21105,44
DEP,2022,20606,44
DEP,2023,19621,44
DEP,2024,20350,44
REG,2012,36364,44
REG,2013,37848,44
REG,2014,37673,44
REG,2015,33719,44
REG,2016,35938,44
REG,2017,38647,44
REG,2018,42882,44
REG,2019,49283,44
REG,2020,53161,44
REG,2021,64737,44
REG,2022,63710,44
REG,2023,62922,44
REG,2024,67017,44
DEP,2012,4434,45
DEP,2013,4609,45
DEP,2014,4608,45
DEP,2015,4440,45
DEP,2016,4600,45
DEP,2017,4749,45
DEP,2018,5699,45
DEP,2019,6369,45
DEP,2020,6723,45
DEP,2021,8123,45
DEP,2022,8276,45
DEP,2023,8337,45
DEP,2024,9184,45
DEP,2012,1402,46
DEP,2013,1338,46
DEP,2014,1433,46
DEP,2015,1285,46
DEP,2016,1345,46
DEP,2017,1333,46
DEP,2018,1543,46
DEP,2019,1707,46
DEP,2020,1811,46
DEP,2021,2115,46
DEP,2022,2117,46
DEP,2023,2000,46
DEP,2024,2160,46
DEP,2012,2463,47
DEP,2013,2530,47
DEP,2014,2421,47
DEP,2015,2279,47
DEP,2016,2386,47
DEP,2017,2543,47
DEP,2018,2755,47
DEP,2019,3275,47
DEP,2020,3390,47
DEP,2021,4044,47
DEP,2022,4179,47
DEP,2023,4060,47
DEP,2024,4151,47
DEP,2012,504,48
DEP,2013,446,48
DEP,2014,522,48
DEP,2015,460,48
DEP,2016,413,48
DEP,2017,486,48
DEP,2018,494,48
DEP,2019,519,48
DEP,2020,579,48
DEP,2021,777,48
DEP,2022,721,48
DEP,2023,773,48
DEP,2024,777,48
DEP,2012,4998,49
DEP,2013,5013,49
DEP,2014,5154,49
DEP,2015,5067,49
DEP,2016,5011,49
DEP,2017,5438,49
DEP,2018,6267,49
DEP,2019,7376,49
DEP,2020,7608,49
DEP,2021,9480,49
DEP,2022,9515,49
DEP,2023,9146,49
DEP,2024,9860,49
DEP,2012,2561,50
DEP,2013,2443,50
DEP,2014,2609,50
DEP,2015,2400,50
DEP,2016,2596,50
DEP,2017,2690,50
DEP,2018,2950,50
DEP,2019,3448,50
DEP,2020,3676,50
DEP,2021,4248,50
DEP,2022,4244,50
DEP,2023,4183,50
DEP,2024,4671,50
DEP,2012,3576,51
DEP,2013,3691,51
DEP,2014,3731,51
DEP,2015,3311,51
DEP,2016,3595,51
DEP,2017,4221,51
DEP,2018,4792,51
DEP,2019,5425,51
DEP,2020,5893,51
DEP,2021,7754,51
DEP,2022,7453,51
DEP,2023,7177,51
DEP,2024,7764,51
DEP,2012,904,52
DEP,2013,970,52
DEP,2014,895,52
DEP,2015,743,52
DEP,2016,851,52
DEP,2017,880,52
DEP,2018,985,52
DEP,2019,1115,52
DEP,2020,1228,52
DEP,2021,1497,52
DEP,2022,1466,52
DEP,2023,1395,52
DEP,2024,1515,52
REG,2012,24450,52
REG,2013,24354,52
REG,2014,25576,52
REG,2015,24899,52
REG,2016,25824,52
REG,2017,28456,52
REG,2018,30670,52
REG,2019,36367,52
REG,2020,38059,52
REG,2021,46328,52
REG,2022,46574,52
REG,2023,44898,52
REG,2024,47203,52
DEP,2012,1518,53
DEP,2013,1536,53
DEP,2014,1652,53
DEP,2015,1551,53
DEP,2016,1633,53
DEP,2017,1857,53
DEP,2018,1893,53
DEP,2019,2255,53
DEP,2020,2754,53
DEP,2021,3039,53
DEP,2022,3236,53
DEP,2023,2987,53
DEP,2024,3102,53
REG,2012,21382,53
REG,2013,21498,53
REG,2014,22228,53
REG,2015,21567,53
REG,2016,22198,53
REG,2017,23721,53
REG,2018,26677,53
REG,2019,30400,53
REG,2020,30802,53
REG,2021,38190,53
REG,2022,39099,53
REG,2023,38586,53
REG,2024,41653,53
DEP,2012,4483,54
DEP,2013,4483,54
DEP,2014,4785,54
DEP,2015,4508,54
DEP,2016,4497,54
DEP,2017,4644,54
DEP,2018,5602,54
DEP,2019,6461,54
DEP,2020,7123,54
DEP,2021,8160,54
DEP,2022,7863,54
DEP,2023,8340,54
DEP,2024,8798,54
DEP,2012,1057,55
DEP,2013,1006,55
DEP,2014,948,55
DEP,2015,884,55
DEP,2016,900,55
DEP,2017,882,55
DEP,2018,1120,55
DEP,2019,1154,55
DEP,2020,1190,55
DEP,2021,1444,55
DEP,2022,1477,55
DEP,2023,1606,55
DEP,2024,1714,55
DEP,2012,5308,56
DEP,2013,5236,56
DEP,2014,5369,56
DEP,2015,5177,56
DEP,2016,5332,56
DEP,2017,5594,56
DEP,2018,6341,56
DEP,2019,7118,56
DEP,2020,7040,56
DEP,2021,8554,56
DEP,2022,8904,56
DEP,2023,8682,56
DEP,2024,9427,56
DEP,2012,6695,57
DEP,2013,6838,57
DEP,2014,6768,57
DEP,2015,6166,57
DEP,2016,6294,57
DEP,2017,6643,57
DEP,2018,7269,57
DEP,2019,8328,57
DEP,2020,8993,57
DEP,2021,11255,57
DEP,2022,11233,57
DEP,2023,11563,57
DEP,2024,12079,57
DEP,2012,1173,58
DEP,2013,1150,58
DEP,2014,1184,58
DEP,2015,1105,58
DEP,2016,1128,58
DEP,2017,1202,58
DEP,2018,1285,58
DEP,2019,1457,58
DEP,2020,1506,58
DEP,2021,1826,58
DEP,2022,1876,58
DEP,2023,1874,58
DEP,2024,2015,58
DEP,2012,16592,59
DEP,2013,16631,59
DEP,2014,17115,59
DEP,2015,16439,59
